iter	Passed	Remaining
161	247	1280
162	248	1273
163	248	1267
164	249	1261
165	249	1254
166	250	1248
167	250	1241
168	251	1235
169	251	1229
170	252	1223
171	253	1218
172	253	1213
173	254	1207
174	255	1203
175	255	1198
176	256	1193
177	257	1188
178	257	1182
179	258	1177
180	258	1171
181	259	1167
182	260	1162
183	261	1158
184	261	1153
185	262	1149
186	263	1144
187	263	1138
188	264	1133
189	264	1128
190	265	1123
191	266	1119
192	266	1115
193	267	1111
194	268	1107
195	268	1102
196	269	1097
197	270	1094
198	270	1089
199	271	1085
200	271	1080
201	272	1077
202	273	1073
203	274	1069
204	274	1065
205	275	1061
206	275	1056
207	276	1052
208	277	1048
209	277	1044
210	278	1041
211	279	1037
212	279	1033
213	280	1029
214	280	1025
215	281	1021
216	282	1018
217	282	1013
218	283	1010
219	283	1006
220	284	1002
221	285	999
222	285	995
223	286	991
224	286	987
225	287	983
226	287	980
227	288	976
228	289	973
229	289	969
230	290	965
231	290	962
232	291	959
233	292	956
234	292	953
235	293	949
236	294	946
237	294	943
238	295	939
239	295	936
240	296	932
241	296	929
242	297	926
243	298	923
244	298	920
245	299	917
246	299	914
247	300	911
248	301	907
249	301	904
250	302	901
251	302	898
252	303	895
253	304	892
254	304	889
255	305	887
256	305	884
257	306	881
258	307	878
259	307	875
260	308	872
261	308	869
262	309	866
263	309	863
264	310	860
265	311	858
266	311	855
267	312	852
268	312	849
269	313	847
270	313	844
271	314	841
272	315	838
273	315	836
274	316	834
275	316	831
276	317	828
277	318	826
278	318	823
279	319	821
280	319	818
281	320	815
282	320	813
283	321	810
284	322	808
285	322	805
286	323	803
287	324	801
288	324	798
289	325	796
290	325	794
291	326	791
292	327	789
293	327	786
294	328	784
295	328	782
296	329	779
297	330	777
298	330	775
299	331	772
300	331	770
301	332	768
302	332	765
303	333	763
304	334	761
305	334	759
306	335	756
307	335	754
308	336	752
309	337	750
310	337	747
311	338	745
312	338	743
313	339	741
314	339	738
315	340	736
316	340	734
317	341	732
318	341	729
319	342	727
320	343	725
321	343	723
322	344	721
323	344	719
324	345	717
325	346	715
326	346	713
327	347	711
328	348	709
329	348	707
330	349	705
331	349	703
332	350	701
333	350	699
334	351	697
335	351	695
336	352	693
337	352	691
338	353	689
339	354	687
340	354	685
341	355	683
342	356	682
343	356	680
344	357	678
345	358	676
346	358	674
347	359	672
348	359	670
349	360	669
350	360	667
351	361	665
352	362	663
353	362	661
354	363	659
355	363	658
356	364	656
357	364	654
358	365	652
359	366	651
360	366	649
361	367	647
362	368	646
363	368	644
364	369	642
365	370	641
366	370	639
367	371	637
368	371	636
369	372	634
370	373	632
371	373	631
372	374	629
373	375	627
374	375	626
375	376	624
376	376	622
377	377	621
378	378	619
379	378	618
380	379	616
381	380	614
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	604
388	384	603
389	384	601
390	385	600
391	386	598
392	386	597
393	387	595
394	388	594
395	388	592
396	389	591
397	389	589
398	390	588
399	391	587
400	392	586
401	393	584
402	393	583
403	394	581
404	395	580
405	395	578
406	396	577
407	396	575
408	397	574
409	398	573
410	399	572
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	403	563
417	403	562
418	404	561
419	405	559
420	405	558
421	406	556
422	407	555
423	407	554
424	408	552
425	408	550
426	409	549
427	410	548
428	411	547
429	411	545
430	412	544
431	413	543
432	413	541
433	414	540
434	414	538
435	415	537
436	416	535
437	416	534
438	417	533
439	418	532
440	418	531
441	419	529
442	420	528
443	420	527
444	421	525
445	422	524
446	422	523
447	423	522
448	424	520
449	424	519
450	425	517
451	426	516
452	427	515
453	427	514
454	428	512
455	428	511
456	429	510
457	430	508
458	430	507
459	431	506
460	431	505
461	432	503
462	433	502
463	433	500
464	434	499
465	434	498
466	435	497
467	436	495
468	437	494
469	437	493
470	438	492
471	438	490
472	439	489
473	440	488
474	440	487
475	441	486
476	442	484
477	442	483
478	443	482
479	444	481
480	445	480
481	445	478
482	446	477
483	446	476
484	447	475
485	448	473
486	448	472
487	449	471
488	450	470
489	450	468
490	451	468
491	452	466
492	452	465
493	453	464
